,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
358,"OnePlus Nord 5 5G (Marble Sands, 256 GB)","₹34,161₹34,9992% off","1,986 Ratings & 132 Reviews",2% off,50MP + 50MP + 8MP | 50MP Front Camera,8 GB RAM | 256 GB ROM,6800 mAh Battery,17.35 cm (6.83 inch) Full HD+ AMOLED Display,4.5
359,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹12,080₹13,99913% off","2,069 Ratings & 88 Reviews",13% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.2
360,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
361,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
362,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹13,147₹14,99912% off","2,877 Ratings & 111 Reviews",12% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.3
363,KARBONN Jumbo K9,"₹1,250₹1,89033% off","16,499 Ratings & 1,500 Reviews",33% off,1.3MP + 0MP | 2MP Front Camera,Expandable Upto 8 GB,1800 mAh Li-Ion Battery,6.1 cm (2.4 inch) FWVGA Display,4
364,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
365,itel Ace 3 Shine,"₹948₹1,24924% off","1,538 Ratings & 61 Reviews",24% off,1000 mAh Battery,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,Unisoc Processor,4.57 cm (1.8 inch) QVGA Display,4.1
366,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
367,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
368,"OnePlus Nord 5 5G (Marble Sands, 256 GB)","₹36,670₹37,9993% off","1,402 Ratings & 107 Reviews",3% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,6800 mAh Battery,17.35 cm (6.83 inch) Display,4.5
369,"vivo T4 Ultra 5G (Phoenix Gold, 256 GB)","₹35,999₹40,99912% off","4,847 Ratings & 442 Reviews",12% off,50MP + 8MP + 50MP Periscope | 32MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ AMOLED Display,4.5
370,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
371,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
372,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹19,828₹20,9995% off","36,235 Ratings & 1,678 Reviews",5% off,50MP Rear Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Display,4.4
373,"IQOO Neo 10R 5G (MoonKnight Titanium, 256 GB)","₹29,612₹33,99912% off","5,508 Ratings & 355 Reviews",12% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,6400 mAh Battery,17.22 cm (6.78 inch) Display,4.5
374,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
375,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,799","25,287 Ratings & 1,470 Reviews",No Offer,0.8MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1900 mAh Battery,7.11 cm (2.8 inch) Quarter QVGA Display,4.1
376,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
377,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
378,"vivo T4 Pro 5G (Blaze Gold, 256 GB)","₹29,999₹34,99914% off","12,841 Ratings & 825 Reviews",14% off,50MP + 2MP + 50MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Display,4.5
379,"vivo T4 Pro 5G (Nitro Blue, 128 GB)","₹27,999₹32,99915% off","12,841 Ratings & 825 Reviews",15% off,50MP + 2MP + 50MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Display,4.5
380,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
381,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹13,999₹17,49920% off","10,062 Ratings & 580 Reviews",20% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.2
382,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
383,"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","₹49,999₹54,9999% off","2,011 Ratings & 146 Reviews",9% off,50MP + 13MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,4500 mAh Battery,17.53 cm (6.9 inch) Full HD+ Display,4.4
384,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
385,"vivo T4 Ultra 5G (Phoenix Gold, 512 GB)","₹39,999₹44,99911% off","3,474 Ratings & 329 Reviews",11% off,50MP + 8MP + 50MP Periscope | 32MP Front Camera,12 GB RAM | 512 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ AMOLED Display,4.5
386,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
387,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
388,"vivo T4 Ultra 5G (Meteor Grey, 256 GB)","₹37,999₹42,99911% off","3,474 Ratings & 329 Reviews",11% off,50MP + 8MP + 50MP Periscope | 32MP Front Camera,12 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ AMOLED Display,4.5
389,LAVA A3 King,"₹1,179₹1,54923% off","30,475 Ratings & 2,911 Reviews",23% off,0.2MP Rear Camera,4 MB RAM | 4 MB ROM,1750 mAh Battery,4.5 cm (1.77 inch) Display,4.2
390,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
391,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
392,"Ai+ Nova 5G (Blue, 128 GB)","₹8,499₹10,99922% off","19,729 Ratings & 1,327 Reviews",22% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1
393,"IQOO Neo 10R 5G (Raging Blue, 256 GB)","₹31,255₹35,99913% off","2,834 Ratings & 185 Reviews",13% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,6400 mAh Battery,17.22 cm (6.78 inch) Display,4.5
394,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
395,Kechaoda K115,"₹999₹1,49933% off","43,217 Ratings & 2,707 Reviews",33% off,0.3MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,850 mAh Battery,3.66 cm (1.44 inch) QVGA Display,4.1
396,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
397,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
398,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹20,999₹27,99925% off","1,72,386 Ratings & 11,418 Reviews",25% off,50MP + 13MP | 32MP Front Camera,12 GB RAM | 256 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.4
399,"POCO F7 5G (Frost White, 512 GB)","₹33,999₹37,99910% off","19,448 Ratings & 1,884 Reviews",10% off,50MP Rear Camera | 20MP Front Camera,12 GB RAM | 512 GB ROM,7550 mAh Li-Polymer + Silicon Carbon Battery,17.35 cm (6.83 inch) Display,4.4
400,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹12,499₹15,49919% off","19,738 Ratings & 1,244 Reviews",19% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
401,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
402,"Samsung Galaxy A16 5G (Blue Black, 128 GB)","₹15,999₹19,99920% off","4,242 Ratings & 187 Reviews",20% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2
403,LAVA A2 Smart,"₹1,249₹1,54919% off",364 Ratings & 22 Reviews,19% off,1.3MP + 0MP | 0MP Front Camera,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,1200 mAh Battery,6.1 cm (2.4 inch) HVGA Display,4
404,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
405,"realme P4 5G (Forge Red, 128 GB)","₹18,999₹21,99913% off","13,016 Ratings & 894 Reviews",13% off,50MP + 8MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.2 cm (6.77 inch) Display,4.4
406,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
407,"Samsung Galaxy F36 5G (Black, 128 GB)","₹21,499₹24,49912% off","4,356 Ratings & 295 Reviews",12% off,50MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2
408,"Ai+ Nova 5G (Black, 128 GB)","₹8,499₹10,99922% off","19,729 Ratings & 1,327 Reviews",22% off,50MP Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.13 cm (6.745 inch) HD+ Display,4.1
409,"Tecno Spark Go 1 (Glittery White, 64 GB)","₹6,899₹8,59919% off","1,817 Ratings & 83 Reviews",19% off,13MP Rear Camera | 8MP Front Camera,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.94 cm (6.67 inch) Display,4.3
410,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
411,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
412,"Tecno Spark Go 1 (Startrail Black, 64 GB)","₹6,899₹8,59919% off","1,817 Ratings & 83 Reviews",19% off,13MP Rear Camera | 8MP Front Camera,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.94 cm (6.67 inch) Display,4.3
413,"REDMI 14C 5G (Stargaze Black, 128 GB)","₹11,376₹14,99924% off","9,202 Ratings & 451 Reviews",24% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
414,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
415,"vivo T4 Pro 5G (Nitro Blue, 256 GB)","₹31,999₹36,99913% off","3,246 Ratings & 229 Reviews",13% off,50MP + 2MP + 50MP | 32MP Front Camera,12 GB RAM | 256 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Display,4.5
416,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
417,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
418,Jio Bharat V4 JBV191M2 4G UPI Phone,"₹749₹1,74957% off",,57% off,0.3MP Rear Camera | 0MP Front Camera,36 MB RAM | 36 MB ROM | Expandable Upto 128 GB,1000 mAh Battery,4.5 cm (1.77 inch) QVGA Display,
419,Nokia 105,"₹1,199₹1,59925% off","16,854 Ratings & 945 Reviews",25% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,4.5 cm (1.77 inch) Display,3.8
420,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
421,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
422,"Apple iPhone 14 (Starlight, 128 GB)","₹54,900","3,21,283 Ratings & 11,933 Reviews",No Offer,12MP + 12MP | 12MP Front Camera,128 GB ROM,"A15 Bionic Chip, 6 Core Processor Processor",15.49 cm (6.1 inch) Super Retina XDR Display,4.6
423,"LAVA Bold N1 Pro (Titanium Gold, 128 GB)","₹7,499₹8,39910% off",304 Ratings & 19 Reviews,10% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.76 cm (6.6 inch) Display,4
424,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
425,"REDMI 15 5G (Sandy Purple, 128 GB)","₹15,990₹17,99911% off","2,601 Ratings & 132 Reviews",11% off,50MP Rear Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3
426,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
427,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
428,"REDMI 15 5G (Frosted White, 128 GB)","₹15,978₹17,99911% off","2,601 Ratings & 132 Reviews",11% off,50MP Rear Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3
429,"IQOO Neo 10R 5G (Raging Blue, 256 GB)","₹29,329₹33,99913% off","5,508 Ratings & 355 Reviews",13% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,6400 mAh Battery,17.22 cm (6.78 inch) Display,4.5
430,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
431,"Samsung Galaxy F36 5G (Black, 128 GB)","₹21,499₹24,49912% off","4,356 Ratings & 295 Reviews",12% off,50MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2
432,Jmax Super 1,₹583₹99941% off,"2,288 Ratings & 160 Reviews",41% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,1100 mAh Battery,4.57 cm (1.8 inch) Display,3.8
433,"Tecno Spark Go 2 (Veil White, 64 GB)","₹7,499₹8,99916% off","2,226 Ratings & 131 Reviews",16% off,13MP Rear Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,16.94 cm (6.67 inch) Display,4.2
434,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
435,"Tecno Spark Go 2 (Turquoise Green, 64 GB)","₹7,499₹8,99916% off","2,226 Ratings & 131 Reviews",16% off,13MP Rear Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,16.94 cm (6.67 inch) Display,4.2
436,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
437,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
438,"Tecno Spark Go 2 (Titanium Grey, 64 GB)","₹7,499₹8,99916% off","2,226 Ratings & 131 Reviews",16% off,13MP Rear Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,16.94 cm (6.67 inch) Display,4.2
439,"Tecno Spark Go 2 (Ink Black, 64 GB)","₹7,499₹8,99916% off","2,226 Ratings & 131 Reviews",16% off,13MP Rear Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Polymer Battery,16.94 cm (6.67 inch) Display,4.2
440,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
441,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
442,"Apple iPhone 17 Pro (Cosmic Orange, 256 GB)","₹1,34,900",674 Ratings & 49 Reviews,No Offer,48MP + 48MP + 48MP | 18MP Front Camera,256 GB ROM,"A19 Chip, 6 Core Processor Processor",16.0 cm (6.3 inch) Super Retina XDR Display,4.7
443,"POCO C71 (Power Black, 64 GB)","₹6,799₹8,99924% off","55,007 Ratings & 2,472 Reviews",24% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,3.9
444,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
445,"POCO M7 5G (Mint Green, 128 GB)","₹9,999₹12,99923% off","70,921 Ratings & 3,288 Reviews",23% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
446,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
447,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
448,Snexan Rock Z Flip Dual Sim Keypad Mobile with2.4Display Flip Fold Call & SMS Indicator,"₹1,892₹2,89934% off",5 Ratings & 1 Reviews,34% off,2MP Rear Camera,32 MB RAM | 32 MB ROM,1800 mAh Battery,6.1 cm (2.4 inch) Display,4.6
449,"REDMI 15 5G (Frosted White, 256 GB)","₹18,038₹19,9999% off","2,601 Ratings & 132 Reviews",9% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3
450,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
451,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
452,"Motorola g45 5G (Pink Lavender, 128 GB)","₹11,999₹14,99920% off","2,50,344 Ratings & 12,383 Reviews",20% off,50MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,4.3
453,"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Sea Breeze Green, 128 GB)","₹14,999₹16,99911% off","4,760 Ratings & 396 Reviews",11% off,50MP + AI Lens | 8MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.3
454,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
455,"vivo T4 Ultra 5G (Meteor Grey, 512 GB)","₹39,999₹44,99911% off","3,474 Ratings & 329 Reviews",11% off,50MP + 8MP + 50MP Periscope | 32MP Front Camera,12 GB RAM | 512 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ AMOLED Display,4.5
