,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
287,"Samsung Galaxy F36 5G (Black, 128 GB)","₹21,499₹24,49912% off","4,356 Ratings & 295 Reviews",12% off,50MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2
288,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999₹14,99920% off","2,50,344 Ratings & 12,383 Reviews",20% off,50MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,4.3
289,"Apple iPhone 16 (Ultramarine, 256 GB)","₹79,900","1,99,503 Ratings & 6,362 Reviews",No Offer,48MP + 12MP | 12MP Front Camera,256 GB ROM,"A18 Chip, 6 Core Processor Processor",15.49 cm (6.1 inch) Super Retina XDR Display,4.6
290,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
291,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
292,"LAVA Storm Play 5G (Dune Titanium, 128 GB)","₹10,999₹13,49918% off",166 Ratings & 12 Reviews,18% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.2
293,"LAVA Storm Play 5G (Frosty Blue, 128 GB)","₹10,999₹13,49918% off",166 Ratings & 12 Reviews,18% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.2
294,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
295,"realme P4 5G (Steel Grey, 128 GB)","₹17,999₹20,99914% off","18,021 Ratings & 1,150 Reviews",14% off,50MP + 8MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.2 cm (6.77 inch) Display,4.4
296,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
297,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
298,LAVA A1 Josh BOL,"₹954₹1,39931% off","23,234 Ratings & 1,026 Reviews",31% off,1000 mAh Battery,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,4.5 cm (1.77 inch) Quarter QVGA Display,4.1
299,LAVA A3 Torch,"₹1,284₹1,64922% off",602 Ratings & 40 Reviews,22% off,0.3MP + 0MP | 0MP Front Camera,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,4.57 cm (1.8 inch) HVGA Display,4.1
300,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
301,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
302,Kechaoda A26,"₹899₹1,49940% off","29,970 Ratings & 1,636 Reviews",40% off,0MP | 0MP Front Camera,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB,800 mAh Battery,1.68 cm (0.66 inch) NA Display,4
303,"OnePlus Nord CE5 5G (Marble Mist, 256 GB)","₹26,500₹26,9991% off",402 Ratings & 18 Reviews,1% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,7100 mAh Battery,17.2 cm (6.77 inch) Display,4.4
304,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
305,"Samsung Galaxy A07 LTE (Light Violet, 64 GB)","₹7,618₹10,49927% off",60 Ratings & 4 Reviews,27% off,50MP + 2MP,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.4
306,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
307,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
308,"IQOO Z10X 5G (Titanium, 256 GB)","₹18,990₹20,4997% off","4,724 Ratings & 219 Reviews",7% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,6500 mAh Battery,17.02 cm (6.7 inch) Display,4.4
309,"Nothing Phone (3a) Pro (Black, 128 GB)","₹29,999₹32,9999% off","12,432 Ratings & 950 Reviews",9% off,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,8 GB RAM | 128 GB ROM,5000 mAh Battery,43.66 cm (17.19 cm) Full HD+ Display,4.5
310,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
